section,title,place,location,start,end,description,in_resume
section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3 
by_me_press,TRUE,[The Great Student Migration](https://www.nytimes.com/interactive/2016/08/26/us/college-student-migration.html?smid=pl-share),The New York Times,N/A,2016,2016,Most shared and discussed article from the New York Times for August 2016.,NA,NA
by_me_press,FALSE,"[Wildfires are Getting Worse, The New York Times](https://www.nytimes.com/interactive/2016/07/25/us/wildfire-seasons-los-angeles.html)",The New York Times,N/A,2016,2016,GIS analysis and modeling of fire patterns and trends,Data in collaboration with NASA and USGS,NA
by_me_press,FALSE,[Who’s Speaking at the Democratic National Convention?](https://www.nytimes.com/2016/07/26/upshot/democrats-may-not-be-unified-but-their-convention-speakers-are.html),The New York Times,N/A,2016,2016,Data scraped from CSPAN records to figure out who talked and past conventions.,NA,NA
by_me_press,FALSE,[Who’s Speaking at the Republican National Convention?](https://www.nytimes.com/2016/07/19/upshot/whos-not-speaking-how-this-republican-convention-differs.html?smid=pl-share),The New York Times,N/A,2016,2016,Used same data scraping techniques as Who’s Speaking at the Democratic National Convention?,NA,NA
by_me_press,FALSE,"[A Trail of Terror in Nice, Block by Block](https://www.nytimes.com/interactive/2016/07/14/world/europe/trail-of-terror-france.html)",The New York Times,N/A,2016,2016,"Led research effort to put together story of 2016 terrorist attack in Nice, France in less than 12 hours.","Work won Silver medal at Malofiej 2017, and gold at Society of News and Design.",NA
academic_articles,TRUE,Asymmetric Linkage Disequilibrium: Tools for Dissecting Multiallelic LD,Journal of Human Immunology,N/A,2015,2015,"Authored with Richard Single, Vanja Paunic, Mark Albrecht, and Martin Maiers.",NA,NA
academic_articles,FALSE,[An Agent Based Model of Mysis Migration](https://www.semanticscholar.org/paper/An-Agent-Based-Model-of-the-Diel-Vertical-Migration-Strayer-Stockwell/40493c78e8ecf22bd882d17ec99fd913ec4b9820),International Association of Great Lakes Research Conference,N/A,2015,2015,"Authored with Brian O'Malley, Sture Hansson, and Jason Stockwell.",NA,NA
academic_articles,FALSE,Declines of Mysis diluviana in the Great Lakes,Journal of Great Lakes Research,N/A,2015,2015,Authored with Peter Euclide and Jason Stockwell.,NA,NA
academic_articles,FALSE,[Continuous Classification using Deep Neural Networks](http://nickstrayer.me/qualifying_exam/),Vanderbilt Biostatistics Qualification Exam,N/A,2017,2017,Review of methods for classifying continuous data streams using neural networks,Successfully met qualifying examination standards,NA
academic_articles,TRUE,[Charge Reductions Associated with Shortening Time to Recovery in Septic Shock](https://www.ncbi.nlm.nih.gov/pubmed/30419234),Chest,N/A,2019,2019,"Authored with Wesley H. Self, MD MPH; Dandan Liu, PhD; Stephan Russ, MD, MPH; Michael J. Ward, MD, PhD, MBA; Nathan I. Shapiro, MD, MPH; Todd W. Rice, MD, MSc; Matthew W. Semler, MD, MSc.",NA,NA
academic_articles,FALSE,R timelineViz: Visualizing the distribution of study events in longitudinal studies,Under-Review (copy available upon request.),N/A,2018,2018,Authored with Alex Sunderman of the Vanderbilt Department of Epidemiology.,NA,NA
academic_articles,TRUE,[Multimorbidity Explorer | A shiny app for exploring EHR and biobank data](http://nickstrayer.me/rstudioconf19_me-poster/),RStudio::conf 2019,N/A,2019,2019,Contributed Poster. Authored with Yaomin Xu.,NA,NA
academic_articles,FALSE,[Taking a network view of EHR and Biobank data to find explainable multivariate patterns](http://nickstrayer.me/biostat_seminar/),Vanderbilt Biostatistics Seminar Series,N/A,2019,2019,University wide seminar series.,NA,NA
academic_articles,FALSE,Patient-specific risk factors independently influence survival in Myelodysplastic Syndromes in an unbiased review of EHR records,Under-Review (copy available upon request.),NA,NA,2019,Bayesian network analysis used to find novel subgroups of patients with Myelodysplastic Syndromes (MDS).,Analysis done using method built for my dissertation.,NA
academic_articles,FALSE,Patient specific comorbidities impact overall survival in myelofibrosis,Under-Review (copy available upon request.),NA,NA,2019,Bayesian network analysis used to find robust novel subgroups of patients with given genetic mutations.,Analysis done using method built for my dissertation.,NA
industry_positions,Co-founder & Principal Program Officer,Managing for Development Results Associates (MADRA),Liberia / West Africa,2024,Present,"Strategic Leadership and Vision: I provide overall strategic leadership, vision, and operational oversight for a consultancy focused on advancing development solutions in Liberia and West Africa. I lead the firm’s core service areas, which include project management, strategic planning, public sector assessment, monitoring and evaluation, budgeting, and data analytics. My role involves enhancing the firm’s reputation as a trusted partner for government agencies, NGOs, donor organizations, and private sector clients. I ensure that our services address pressing socio-economic challenges and contribute to sustainable development outcomes ||Operational & Business Management: In this role, I oversee client engagement, business development, and project execution while fostering long-term partnerships through transparency, innovation, and high-quality service delivery. I manage diverse teams of consultants, aligning their expertise with client needs to ensure that projects are completed on time, within budget, and uphold the highest professional standards. Additionally, I lead compliance with legal and regulatory requirements, provide guidance on financial management and performance monitoring, and enhance the firm’s competitive position in the consultancy market through effective networking, thought leadership, and strategic promotion",TRUE
industry_positions,Assistant Director, Monitoring & Evaluation,Ministry of Finance & Development Planning,Liberia,2018,2022,"Led and coordinated two SDG Voluntary National Reviews (VNRs) for Liberia; designed/executed a national M&E plan aligned to SDGs||Technical focal point for UNDAF alignment; contributed to regional M&E policy incl. ECOWAS Vision 2050||Established NM&ETWG and NEC; strengthened national evaluation capacity and partnerships",TRUE
industry_positions,Senior M&E Analyst,Ministry of Finance & Development Planning,Liberia,2015,2018,"Standardized M&E practices across public sector investment programs; built sector M&E plans aligned to national strategy||Designed data collection/reporting frameworks; analyzed budget and M&E reports; produced evidence for resource allocation||Led collaborative monitoring with government, community and private partners; produced regular decision reports",TRUE
research_positions,Senior Emergency Officer (Volunteer),National Ebola Command Center,Liberia,2014,2015,"Managed nationwide distribution of critical supplies||Introduced MIS and standardized processes for fast, reliable logistics and reporting",TRUE
industry_positions,M&E Officer (World Bank YES Project),Ministry of Youth & Sports,Liberia,2013,2013,"Built full M&E framework and data management system for WB YES project||Produced monthly/quarterly/annual reports and tracer studies",TRUE
industry_positions,National M&E Officer,Ministry of Planning & Economic Affairs,Liberia,2012,2012,"Produced baselines and SMART targets for the National Development Plan||Consolidated M&E reporting; supported capacity building across line ministries",TRUE
industry_positions,Project Monitor (World Bank YES Project),Transtec,Liberia,2011,2011,"Developed data tools and rapid analysis workflows||Coordinated surveys, verified job placements, and ran employer satisfaction studies",TRUE

